iter	RMSE
0	77298.83606
1	75232.59268
2	73040.75512
3	71049.80563
4	69025.33249
5	67189.54154
6	65388.3216
7	63921.26053
8	62260.65393
9	60649.66762
10	59321.97439
11	57905.22687
12	56682.77728
13	55429.42216
14	54131.96365
15	52925.43767
16	51872.86581
17	50807.77514
18	49629.11125
19	48665.53807
20	47680.27619
21	46661.09627
22	45720.43951
23	44921.8713
24	44097.58557
25	43362.83579
26	42595.00279
27	41880.95872
28	41103.97751
29	40369.79943
30	39748.8758
31	39115.98547
32	38517.29276
33	37958.5961
34	37420.89125
35	36833.81718
36	36277.21732
37	35771.22759
38	35285.80518
39	34822.2791
40	34361.10172
41	33902.88879
42	33550.63428
43	33152.20542
44	32740.99253
45	32314.50462
46	31986.12855
47	31565.53056
48	31216.59106
49	30856.86167
50	30509.81743
51	30187.77994
52	29813.42665
53	29501.96481
54	29208.63048
55	28913.86251
56	28662.56809
57	28383.96666
58	28152.54219
59	27954.05638
60	27690.27367
61	27461.20959
62	27197.47051
63	26945.27122
64	26725.37787
65	26526.63366
66	26322.69141
67	26141.08891
68	25966.98732
69	25777.48048
70	25582.66826
71	25382.1563
72	25237.14827
73	25039.1679
74	24875.12145
75	24752.94762
76	24585.6923
77	24476.65291
78	24319.89031
79	24151.15547
80	24008.13087
81	23874.30803
82	23714.32702
83	23546.4038
84	23386.11429
85	23294.75247
86	23155.91335
87	23022.2948
88	22897.73623
89	22818.64101
90	22687.68875
91	22604.02005
92	22514.85982
93	22423.83578
94	22315.21403
95	22198.35654
96	22102.18802
97	21996.02654
98	21870.24492
99	21758.02653
100	21661.69818
101	21565.25487
102	21473.80648
103	21382.75257
104	21313.60195
105	21256.21695
106	21187.66256
107	21099.20747
108	21043.15156
109	20963.84361
110	20903.99217
111	20849.56333
112	20759.17886
113	20699.4646
114	20614.39283
115	20540.76795
116	20466.61627
117	20413.72055
118	20329.13493
119	20284.06969
120	20218.21235
121	20135.46718
122	20048.8209
123	19999.28586
124	19943.13704
125	19892.78568
126	19829.81807
127	19796.06918
128	19748.0157
129	19695.87388
130	19636.36399
131	19579.63553
132	19526.92452
133	19488.46847
134	19427.15214
135	19371.92613
136	19320.2992
137	19247.19839
138	19203.14362
139	19148.02992
140	19113.01707
141	19086.2075
142	19025.44548
143	18985.28988
144	18953.76928
145	18912.96707
146	18866.1561
147	18821.89929
148	18774.71507
149	18743.89541
150	18657.76451
151	18611.9212
152	18576.71114
153	18534.58947
154	18498.69889
155	18478.23388
156	18422.421
157	18394.70729
158	18342.55844
159	18293.54346
160	18267.69403
161	18223.51817
162	18190.71853
163	18149.76622
164	18095.51797
165	18058.26521
166	18017.45297
167	17979.03851
168	17951.64558
169	17905.16947
170	17870.55052
171	17828.03052
172	17782.78983
173	17733.84282
174	17694.49126
175	17680.75204
176	17649.09556
177	17608.14652
178	17577.0433
179	17566.41452
180	17536.4083
